ImageId,Label
1,2
2,0
3,2
4,2
5,4
6,3
7,0
8,4
9,7
10,7
11,5
12,2
13,3
14,0
15,2
16,7
17,3
18,1
19,9
20,0
21,3
22,4
23,4
24,5
25,3
26,3
27,2
28,9
29,2
30,3
31,2
32,5
33,3
34,9
35,6
36,2
37,1
38,5
39,1
40,6
41,2
42,3
43,2
44,2
45,8
46,5
47,9
48,9
49,1
50,5
51,6
52,8
53,8
54,3
55,8
56,2
57,4
58,2
59,3
60,3
61,8
62,4
63,5
64,0
65,0
66,0
67,1
68,8
69,0
70,4
71,6
72,5
73,8
74,8
75,2
76,8
77,3
78,9
79,2
80,4
81,5
82,4
83,4
84,0
85,2
86,9
87,2
88,3
89,6
90,3
91,2
92,7
93,6
94,6
95,4
96,8
97,3
98,8
99,3
100,3
101,0
102,9
103,7
104,0
105,2
106,3
107,0
108,5
109,7
110,8
111,6
112,0
113,3
114,7
115,4
116,2
117,4
118,4
119,3
120,9
121,3
122,3
123,2
124,8
125,6
126,4
127,8
128,1
129,8
130,1
131,9
132,5
133,7
134,0
135,0
136,0
137,7
138,4
139,9
140,6
141,2
142,7
143,3
144,5
145,5
146,8
147,9
148,3
149,2
150,9
151,2
152,9
153,5
154,8
155,5
156,8
157,8
158,3
159,3
160,8
161,9
162,0
163,8
164,5
165,4
166,3
167,7
168,6
169,3
170,0
171,2
172,2
173,9
174,6
175,4
176,9
177,5
178,8
179,1
180,7
181,7
182,8
183,9
184,2
185,2
186,3
187,2
188,8
189,6
190,0
191,6
192,4
193,7
194,9
195,6
196,0
197,9
198,3
199,6
200,3
201,4
202,9
203,0
204,9
205,3
206,0
207,8
208,2
209,6
210,2
211,0
212,3
213,3
214,5
215,3
216,2
217,1
218,6
219,9
220,3
221,2
222,2
223,1
224,2
225,2
226,2
227,1
228,6
229,1
230,0
231,5
232,5
233,3
234,4
235,7
236,9
237,2
238,9
239,8
240,6
241,8
242,6
243,4
244,3
245,5
246,5
247,3
248,8
249,9
250,4
251,2
252,9
253,1
254,3
255,9
256,5
257,5
258,4
259,8
260,7
261,6
262,9
263,3
264,5
265,3
266,0
267,6
268,8
269,2
270,4
271,5
272,0
273,6
274,3
275,9
276,3
277,4
278,5
279,8
280,6
281,0
282,2
283,2
284,5
285,5
286,3
287,3
288,9
289,2
290,8
291,5
292,3
293,3
294,2
295,8
296,6
297,9
298,0
299,7
300,9
301,6
302,2
303,8
304,4
305,6
306,9
307,3
308,4
309,8
310,7
311,8
312,5
313,1
314,0
315,0
316,3
317,8
318,2
319,1
320,8
321,3
322,4
323,4
324,9
325,8
326,8
327,3
328,8
329,5
330,3
331,6
332,8
333,7
334,7
335,0
336,9
337,0
338,3
339,6
340,2
341,6
342,3
343,8
344,8
345,3
346,0
347,6
348,5
349,9
350,2
351,6
352,3
353,3
354,7
355,5
356,8
357,8
358,3
359,2
360,3
361,3
362,6
363,7
364,9
365,8
366,2
367,7
368,8
369,8
370,6
371,8
372,5
373,3
374,3
375,3
376,2
377,9
378,5
379,3
380,7
381,2
382,5
383,5
384,9
385,2
386,6
387,7
388,7
389,7
390,2
391,4
392,3
393,0
394,2
395,6
396,1
397,4
398,4
399,2
400,3
401,9
402,3
403,6
404,4
405,1
406,4
407,9
408,7
409,5
410,5
411,7
412,0
413,8
414,4
415,3
416,3
417,4
418,4
419,7
420,5
421,5
422,6
423,6
424,9
425,3
426,7
427,4
428,3
429,3
430,3
431,8
432,8
433,5
434,2
435,6
436,1
437,3
438,9
439,5
440,0
441,8
442,8
443,3
444,3
445,3
446,2
447,1
448,5
449,3
450,5
451,3
452,3
453,6
454,8
455,7
456,9
457,2
458,3
459,9
460,9
461,6
462,3
463,5
464,0
465,5
466,8
467,3
468,9
469,6
470,4
471,4
472,8
473,9
474,5
475,5
476,0
477,1
478,7
479,7
480,0
481,8
482,8
483,4
484,2
485,2
486,2
487,8
488,8
489,3
490,3
491,0
492,8
493,9
494,8
495,2
496,0
497,6
498,3
499,4
500,0
501,6
502,5
503,2
504,2
505,4
506,7
507,8
508,7
509,0
510,2
511,3
512,8
513,8
514,3
515,3
516,3
517,5
518,3
519,2
520,3
521,0
522,3
523,0
524,1
525,7
526,7
527,0
528,8
529,8
530,3
531,0
532,5
533,7
534,8
535,3
536,5
537,6
538,5
539,3
540,8
541,0
542,2
543,8
544,8
545,7
546,7
547,0
548,3
549,9
550,1
551,4
552,3
553,0
554,0
555,0
556,0
557,5
558,8
559,6
560,7
561,0
562,4
563,9
564,4
565,6
566,5
567,4
568,1
569,9
570,0
571,2
572,5
573,3
574,2
575,0
576,9
577,7
578,2
579,2
580,2
581,5
582,4
583,2
584,6
585,2
586,4
587,3
588,9
589,8
590,0
591,8
592,8
593,8
594,5
595,4
596,6
597,6
598,6
599,0
600,3
601,8
602,1
603,3
604,1
605,7
606,2
607,8
608,5
609,6
610,1
611,5
612,8
613,3
614,7
615,2
616,2
617,5
618,0
619,0
620,8
621,8
622,8
623,9
624,2
625,0
626,8
627,9
628,5
629,6
630,3
631,6
632,4
633,8
634,2
635,7
636,3
637,1
638,3
639,8
640,9
641,7
642,9
643,3
644,8
645,2
646,2
647,2
648,3
649,1
650,8
651,8
652,9
653,0
654,7
655,8
656,2
657,2
658,3
659,7
660,3
661,2
662,4
663,2
664,0
665,7
666,8
667,4
668,3
669,3
670,6
671,8
672,3
673,8
674,3
675,8
676,3
677,2
678,3
679,6
680,0
681,6
682,3
683,8
684,8
685,1
686,3
687,3
688,6
689,8
690,3
691,2
692,6
693,0
694,7
695,8
696,1
697,4
698,3
699,8
700,9
701,3
702,0
703,8
704,0
705,6
706,0
707,8
708,8
709,6
710,8
711,1
712,8
713,4
714,5
715,8
716,6
717,2
718,9
719,1
720,8
721,3
722,9
723,4
724,0
725,4
726,2
727,8
728,4
729,2
730,5
731,3
732,4
733,3
734,2
735,3
736,2
737,7
738,9
739,4
740,5
741,3
742,4
743,4
744,1
745,7
746,8
747,0
748,1
749,8
750,6
751,3
752,9
753,8
754,3
755,3
756,4
757,0
758,4
759,4
760,8
761,2
762,0
763,8
764,0
765,8
766,0
767,0
768,9
769,4
770,8
771,2
772,5
773,0
774,9
775,5
776,2
777,3
778,6
779,3
780,4
781,4
782,2
783,2
784,8
785,3
786,5
787,7
788,1
789,8
790,8
791,5
792,0
793,8
794,0
795,4
796,3
797,7
798,6
799,3
800,3
801,4
802,4
803,7
804,3
805,1
806,8
807,3
808,6
809,5
810,1
811,5
812,9
813,2
814,7
815,3
816,2
817,0
818,3
819,3
820,2
821,7
822,0
823,5
824,0
825,7
826,9
827,0
828,8
829,3
830,3
831,8
832,2
833,5
834,9
835,7
836,8
837,2
838,1
839,5
840,1
841,4
842,2
843,0
844,8
845,8
846,4
847,3
848,2
849,4
850,5
851,8
852,9
853,5
854,3
855,4
856,9
857,7
858,3
859,2
860,5
861,0
862,3
863,4
864,4
865,2
866,3
867,6
868,8
869,2
870,9
871,0
872,5
873,8
874,2
875,7
876,3
877,1
878,4
879,0
880,4
881,7
882,8
883,1
884,1
885,2
886,7
887,7
888,5
889,2
890,2
891,4
892,1
893,6
894,0
895,3
896,2
897,5
898,3
899,4
900,4
901,5
902,7
903,5
904,3
905,3
906,7
907,8
908,7
909,2
910,1
911,2
912,0
913,9
914,7
915,4
916,9
917,2
918,5
919,4
920,4
921,1
922,7
923,5
924,3
925,2
926,2
927,3
928,6
929,6
930,3
931,3
932,2
933,4
934,3
935,5
936,9
937,2
938,0
939,9
940,4
941,6
942,0
943,6
944,4
945,0
946,3
947,3
948,2
949,3
950,9
951,6
952,5
953,5
954,2
955,3
956,2
957,8
958,7
959,6
960,2
961,2
962,1
963,3
964,0
965,0
966,7
967,7
968,8
969,8
970,6
971,3
972,2
973,9
974,6
975,3
976,5
977,3
978,0
979,3
980,2
981,7
982,8
983,3
984,9
985,3
986,3
987,0
988,5
989,9
990,2
991,4
992,2
993,0
994,6
995,8
996,7
997,6
998,2
999,4
1000,9
1001,0
1002,3
1003,0
1004,8
1005,1
1006,3
1007,2
1008,2
1009,7
1010,3
1011,2
1012,6
1013,7
1014,3
1015,7
1016,3
1017,2
1018,3
1019,8
1020,8
1021,5
1022,8
1023,8
1024,6
1025,2
1026,6
1027,4
1028,5
1029,5
1030,4
1031,9
1032,4
1033,8
1034,9
1035,2
1036,6
1037,3
1038,5
1039,2
1040,0
1041,7
1042,6
1043,7
1044,3
1045,2
1046,4
1047,3
1048,3
1049,2
1050,6
1051,9
1052,4
1053,7
1054,5
1055,9
1056,4
1057,4
1058,7
1059,0
1060,3
1061,0
1062,0
1063,6
1064,0
1065,3
1066,2
1067,5
1068,0
1069,7
1070,9
1071,5
1072,8
1073,5
1074,6
1075,5
1076,2
1077,6
1078,1
1079,7
1080,2
1081,3
1082,0
1083,2
1084,9
1085,3
1086,3
1087,6
1088,6
1089,7
1090,4
1091,7
1092,1
1093,0
1094,7
1095,3
1096,6
1097,3
1098,9
1099,3
1100,7
1101,8
1102,4
1103,3
1104,4
1105,8
1106,2
1107,4
1108,6
1109,2
1110,6
1111,3
1112,8
1113,2
1114,4
1115,0
1116,9
1117,2
1118,6
1119,4
1120,9
1121,4
1122,5
1123,2
1124,7
1125,6
1126,9
1127,0
1128,6
1129,4
1130,2
1131,0
1132,8
1133,8
1134,0
1135,3
1136,6
1137,8
1138,7
1139,2
1140,2
1141,6
1142,0
1143,4
1144,4
1145,2
1146,8
1147,1
1148,5
1149,5
1150,3
1151,3
1152,3
1153,8
1154,4
1155,3
1156,4
1157,8
1158,4
1159,8
1160,7
1161,8
1162,4
1163,9
1164,0
1165,6
1166,1
1167,1
1168,4
1169,1
1170,2
1171,8
1172,2
1173,9
1174,4
1175,8
1176,6
1177,2
1178,3
1179,8
1180,5
1181,3
1182,8
1183,8
1184,3
1185,7
1186,3
1187,0
1188,9
1189,7
1190,8
1191,2
1192,3
1193,9
1194,8
1195,8
1196,9
1197,4
1198,9
1199,5
1200,5
1201,2
1202,8
1203,7
1204,0
1205,1
1206,3
1207,8
1208,6
1209,3
1210,0
1211,4
1212,7
1213,8
1214,4
1215,8
1216,9
1217,5
1218,1
